Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740509896665,4056,4056,4056,4056,4056,4056,4056,4056,38.15768814086914,37.831783294677734,37.65528869628906,37.798423767089844,37.691062927246094,37.77372360229492,37.725669860839844,37.81975555419922,37.44126892089844,37.670326232910156,37.7360954284668,37.63744354248047,37.60146713256836,37.44240951538086,66.66667175292969,0,0,0,0,0,NaN,0,13.111405372619629,17179869184,19327352832,13429161984,18498322432
204,1740509896665,4056,4056,4056,4056,4056,4056,4056,4056,39.50001525878906,37.831783294677734,37.65528869628906,37.798423767089844,37.691062927246094,37.77372360229492,39.32862854003906,39.21611022949219,39.05867004394531,37.670326232910156,37.7360954284668,37.63744354248047,37.60146713256836,37.44240951538086,NaN,NaN,NaN,NaN,0,NaN,0,NaN,13.111405372619629,17179869184,19327352832,13429882880,18498322432
204,1740509896870,4056,4056,4056,4056,4056,4056,4056,4056,39.50001525878906,39.979286193847656,38.28921127319336,38.35905838012695,38.313026428222656,38.386878967285156,39.32862854003906,39.21611022949219,39.05867004394531,40.02066421508789,40.033782958984375,39.67643356323242,38.301204681396484,38.25935363769531,0,9.090909004211426,0,0,0,0,0,0,13.111405372619629,17179869184,19327352832,13429981184,18498322432
200,1740509897075,4056,4056,4056,4056,4056,4056,4056,4056,39.50001525878906,39.979286193847656,38.28921127319336,38.35905838012695,38.313026428222656,38.386878967285156,39.32862854003906,39.21611022949219,39.05867004394531,40.02066421508789,40.033782958984375,39.67643356323242,38.301204681396484,38.25935363769531,10,9.523809432983398,9.523809432983398,9.523809432983398,27.272727966308594,10,15.000000953674316,4.761904716491699,13.111405372619629,17179869184,19327352832,13429981184,18498322432
201,1740509897276,4056,4056,4056,4056,4056,4056,4056,4056,39.50001525878906,39.979286193847656,38.28921127319336,38.35905838012695,38.313026428222656,38.386878967285156,39.32862854003906,39.21611022949219,39.05867004394531,40.02066421508789,40.033782958984375,39.67643356323242,38.301204681396484,38.25935363769531,23.809524536132813,5.555555820465088,5,5,21.052631378173828,0,4.761904716491699,0,13.134482383728027,17179869184,19327352832,13429981184,18498322432
203,1740509897478,4056,4056,4056,4056,4056,4056,4056,4056,39.50001525878906,39.979286193847656,38.28921127319336,38.35905838012695,38.313026428222656,38.386878967285156,39.32862854003906,39.21611022949219,39.05867004394531,40.02066421508789,40.033782958984375,39.67643356323242,38.301204681396484,38.25935363769531,10.526315689086914,15.000000953674316,5,4.761904716491699,35,35,0,0,13.134482383728027,17179869184,19327352832,13351665664,18498322432
204,1740509897681,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,42.682655334472656,39.49100875854492,39.263519287109375,39.437870025634766,39.37258529663086,43.4278678894043,43.40631103515625,42.62025833129883,43.0281982421875,43.14474868774414,42.09955596923828,39.631595611572266,39.6754150390625,9.523809432983398,4.761904716491699,4.761904716491699,0,42.85714340209961,57.142860412597656,0,0,13.134482383728027,17179869184,19327352832,13353418752,18498322432
204,1740509897886,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,42.682655334472656,39.49100875854492,39.263519287109375,39.437870025634766,39.37258529663086,43.4278678894043,43.40631103515625,42.62025833129883,43.0281982421875,43.14474868774414,42.09955596923828,39.631595611572266,39.6754150390625,0,5,0,0,45,60.000003814697266,0,0,13.134482383728027,17179869184,19327352832,13357613056,18498322432
210,1740509898091,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,42.682655334472656,39.49100875854492,39.263519287109375,39.437870025634766,39.37258529663086,43.4278678894043,43.40631103515625,42.62025833129883,43.0281982421875,43.14474868774414,42.09955596923828,39.631595611572266,39.6754150390625,5,4.761904716491699,0,0,60.000003814697266,35,0,0,13.134482383728027,17179869184,19327352832,13357613056,18498322432
189,1740509898317,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,42.682655334472656,39.49100875854492,39.263519287109375,39.437870025634766,39.37258529663086,43.4278678894043,43.40631103515625,42.62025833129883,43.0281982421875,43.14474868774414,42.09955596923828,39.631595611572266,39.6754150390625,21.7391300201416,18.18181800842285,17.39130401611328,9.523809432983398,68.18181610107422,43.4782600402832,4.761904716491699,9.090909004211426,14.538056373596191,17179869184,19327352832,13357613056,18498322432
