Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740515015503,4056,4056,4056,4056,4056,4056,4056,4056,62.867454528808594,63.920352935791016,64.33500671386719,65.73115539550781,63.62458038330078,65.4698486328125,64.97830200195313,64.8404312133789,63.668399810791016,65.07894134521484,65.16754150390625,62.666481018066406,65.84928894042969,66.22278594970703,100,85.71428680419922,85.71428680419922,100,100,100,100,100,11.156778335571289,17179869184,9663676416,13781499904,9184411648
204,1740515015503,4056,4056,4056,4056,4056,4056,4056,4056,62.867454528808594,63.920352935791016,64.33500671386719,65.73115539550781,63.62458038330078,65.4698486328125,64.97830200195313,64.8404312133789,63.668399810791016,65.07894134521484,65.16754150390625,62.666481018066406,65.84928894042969,66.22278594970703,100,100,100,100,100,100,100,100,11.156778335571289,17179869184,9663676416,13781499904,9184411648
203,1740515015709,4056,4056,4056,4056,4056,4056,4056,4056,62.867454528808594,63.920352935791016,64.33500671386719,65.73115539550781,63.62458038330078,65.4698486328125,64.97830200195313,64.8404312133789,63.668399810791016,65.07894134521484,65.16754150390625,62.666481018066406,65.84928894042969,66.22278594970703,90,90.47618865966797,84.21052551269531,80.95238494873047,100,100,100,100,18.498188018798828,17179869184,9663676416,13781499904,9184411648
204,1740515015912,4056,4056,4056,4056,4056,4056,4056,4056,62.867454528808594,63.920352935791016,64.33500671386719,65.73115539550781,63.62458038330078,65.4698486328125,64.97830200195313,64.8404312133789,63.668399810791016,65.07894134521484,65.16754150390625,62.666481018066406,65.84928894042969,66.22278594970703,70,70,66.66667175292969,61.904762268066406,90,94.73684692382813,95,90,18.498188018798828,17179869184,9663676416,13781499904,9167634432
204,1740515016117,4056,4056,4056,4056,4056,4056,4056,4056,62.867454528808594,63.920352935791016,64.33500671386719,65.73115539550781,63.62458038330078,65.4698486328125,64.97830200195313,64.8404312133789,63.668399810791016,65.07894134521484,65.16754150390625,62.666481018066406,65.84928894042969,66.22278594970703,65,55,50,38.095237731933594,80.95238494873047,85.71428680419922,95,90.90909576416016,18.498188018798828,17179869184,9663676416,13492404224,9159245824
199,1740515016322,4056,4056,4056,4056,4056,4056,4056,4056,70.02629089355469,71.87161254882813,72.9512939453125,74.9680404663086,71.76102447509766,74.32794952392578,72.90313720703125,72.97370910644531,71.13066101074219,73.67852783203125,74.12359619140625,70.25534057617188,75.04419708251953,75.99650573730469,52.38095474243164,45,38.095237731933594,30.000001907348633,65,80,90.47618865966797,47.36842346191406,18.498188018798828,17179869184,9663676416,13500006400,9150857216
203,1740515016521,4056,4056,4056,4056,4056,4056,4056,4056,70.02629089355469,71.87161254882813,72.9512939453125,74.9680404663086,71.76102447509766,74.32794952392578,72.90313720703125,72.97370910644531,71.13066101074219,73.67852783203125,74.12359619140625,70.25534057617188,75.04419708251953,75.99650573730469,52.6315803527832,50,36.842105865478516,35,76.19047546386719,76.19047546386719,65,65,18.498188018798828,17179869184,9663676416,13597671424,9150857216
204,1740515016725,4056,4056,4056,4056,4056,4056,4056,4056,70.02629089355469,71.87161254882813,72.9512939453125,74.9680404663086,71.76102447509766,74.32794952392578,72.90313720703125,72.97370910644531,71.13066101074219,73.67852783203125,74.12359619140625,70.25534057617188,75.04419708251953,75.99650573730469,33.333335876464844,30.000001907348633,28.571430206298828,20,47.36842346191406,70,55,25,27.58281135559082,17179869184,9663676416,13521928192,9150857216
204,1740515016930,4056,4056,4056,4056,4056,4056,4056,4056,70.02629089355469,71.87161254882813,72.9512939453125,74.9680404663086,71.76102447509766,74.32794952392578,72.90313720703125,72.97370910644531,71.13066101074219,73.67852783203125,74.12359619140625,70.25534057617188,75.04419708251953,75.99650573730469,42.105262756347656,35,30.000001907348633,15.000000953674316,76.19047546386719,75,95.23809814453125,90,27.58281135559082,17179869184,9663676416,13521928192,9142468608
201,1740515017135,4056,4056,4056,4056,4056,4056,4056,4056,70.02629089355469,71.87161254882813,72.9512939453125,74.9680404663086,71.76102447509766,74.32794952392578,72.90313720703125,72.97370910644531,71.13066101074219,73.67852783203125,74.12359619140625,70.25534057617188,75.04419708251953,75.99650573730469,57.142860412597656,57.142860412597656,57.142860412597656,52.38095474243164,90,85.71428680419922,85,95.23809814453125,27.58281135559082,17179869184,9663676416,13526695936,9142468608
204,1740515017337,4056,4056,4056,4056,4056,4056,4056,4056,71.71675872802734,73.47586822509766,73.6112060546875,74.76972961425781,72.66073608398438,74.24517822265625,74.28954315185547,74.35289764404297,72.67615509033203,75.08336639404297,75.57308197021484,72.04247283935547,75.602783203125,76.64138793945313,35,31.57894515991211,25,10,60.000003814697266,60.000003814697266,40,33.333335876464844,27.58281135559082,17179869184,9663676416,13561708544,9142468608
204,1740515017542,4056,4056,4056,4056,4056,4056,4056,4056,71.71675872802734,73.47586822509766,73.6112060546875,74.76972961425781,72.66073608398438,74.24517822265625,74.28954315185547,74.35289764404297,72.67615509033203,75.08336639404297,75.57308197021484,72.04247283935547,75.602783203125,76.64138793945313,55,42.85714340209961,26.3157901763916,30.000001907348633,61.904762268066406,60.000003814697266,35,20,27.58281135559082,17179869184,9663676416,13713244160,9142468608
204,1740515017747,4056,4056,4056,4056,4056,4056,4056,4056,71.71675872802734,73.47586822509766,73.6112060546875,74.76972961425781,72.66073608398438,74.24517822265625,74.28954315185547,74.35289764404297,72.67615509033203,75.08336639404297,75.57308197021484,72.04247283935547,75.602783203125,76.64138793945313,30.000001907348633,30.000001907348633,22.72727394104004,13.636363983154297,50,47.619049072265625,0,5,26.271175384521484,17179869184,9663676416,13680082944,9142468608
204,1740515017952,4056,4056,4056,4056,4056,4056,4056,4056,71.71675872802734,73.47586822509766,73.6112060546875,74.76972961425781,72.66073608398438,74.24517822265625,74.28954315185547,74.35289764404297,72.67615509033203,75.08336639404297,75.57308197021484,72.04247283935547,75.602783203125,76.64138793945313,47.619049072265625,42.85714340209961,36.842105865478516,21.052631378173828,55,50,23.809524536132813,19.047618865966797,26.271175384521484,17179869184,9663676416,13785317376,9166192640
