Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740515680751,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,1506,2300,2300,2300,53.20201110839844,5.599372863769531,25.67761993408203,6.134574890136719,6.139495849609375,6.134574890136719,6.1296539306640625,6.0902862548828125,6.171485900878906,6.165336608886719,99.95693969726563,5.568611145019531,99.89295959472656,5.6202850341796875,37.293453216552734,6.204704284667969,0,24167.56610107422,13102.918762207031,43.85040283203125,16833806336,10737418240,8365211648,0
200,1740515680751,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,1506,2300,2300,2300,92.75592803955078,35.46769714355469,62.730926513671875,35.56597900390625,35.85957336425781,35.818519592285156,35.82225036621094,35.7774658203125,37.85377502441406,35.746360778808594,97.94732666015625,40.507320404052734,99.87186431884766,35.17534637451172,52.33196258544922,35.46272277832031,0,24167.638549804688,13102.974365234375,43.85040283203125,16833806336,10737418240,8365449216,0
200,1740515680951,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,1506,2300,2300,2300,0,0,4.29595947265625,0,0,0,10.771148681640625,10.786170959472656,1.412628173828125,0,35.43052673339844,29.634521484375,54.26126480102539,0,15.152694702148438,0,0,24169.40283203125,13104.180053710938,43.8553466796875,16833806336,10737418240,8372498432,0
200,1740515681152,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,1506,2300,2300,2300,0.7173614501953125,0.317596435546875,1.1877212524414063,0.31934356689453125,0.3168487548828125,0.31710052490234375,0.31510162353515625,0.3109588623046875,1.4104766845703125,0.32158660888671875,51.43342971801758,23.066123962402344,56.4776725769043,0.268157958984375,6.166709899902344,0.28107452392578125,0,24171.020874023438,13105.284423828125,43.856689453125,16833806336,10737418240,8372346880,0
200,1740515681352,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,1506,2300,2300,2300,0,0,2.69451904296875,0,0,0,0,0,0,0,57.729183197021484,0,72.45654296875,0,12.1722412109375,0,0,24172.762756347656,13106.487182617188,43.85833740234375,16833806336,10737418240,8370200576,0
200,1740515681552,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,1506,2300,2300,2300,3.83953857421875,0.742034912109375,23.9033203125,0.7172393798828125,0.7779159545898438,0.767486572265625,0.7688369750976563,0.7639923095703125,2.7193450927734375,0.7543106079101563,69.34712219238281,0.691436767578125,82.70146942138672,0.6953811645507813,28.487144470214844,0.7188873291015625,0,24174.98162841797,13108.055969238281,43.89544677734375,16833806336,10737418240,8382033920,0
200,1740515681752,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,1506,2300,2300,2300,2.2346725463867188,1.8560104370117188,2.5911788940429688,1.8563995361328125,1.859344482421875,1.855712890625,1.8553695678710938,1.853607177734375,1.884735107421875,1.8567962646484375,23.042999267578125,1.8472824096679688,94.90190887451172,1.8334579467773438,6.6324920654296875,1.8556671142578125,0,24176.671875,13109.25439453125,43.89593505859375,16833806336,10737418240,8382005248,0
200,1740515681953,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,1506,2300,2300,2300,0,0,0,0,0,0,0,0.19675445556640625,0,0,13.718994140625,0,92.76988220214844,0,0,0,0,24178.273681640625,13110.424133300781,43.89593505859375,16833806336,10737418240,8385863680,0
200,1740515682153,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,1506,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,8.889656066894531,0,96.03467559814453,0,0,0,0,24179.88067626953,13111.591796875,43.89593505859375,16833806336,10737418240,8385937408,0
200,1740515682354,1506,2300,1506,2300,1500,1500,1500,1500,2300,1506,2300,2300,1506,2300,2300,2300,0.8873519897460938,0.88641357421875,1.093231201171875,0.8859710693359375,0.8897247314453125,0.8863677978515625,0.8854751586914063,0.8845901489257813,0.8866653442382813,0.8865127563476563,6.922943115234375,0.862945556640625,99.9979248046875,0.8638381958007813,1.7832565307617188,0.8876495361328125,0,24181.48809814453,13112.769165039063,43.89593505859375,16833806336,10737418240,8386134016,0
