Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740515238393,2300,1506,1506,2300,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,2300,1506,24.86878204345703,19.30035400390625,47.841495513916016,19.03455352783203,19.56371307373047,19.56371307373047,19.587547302246094,19.51361083984375,24.304176330566406,19.473281860351563,23.5697021484375,89.3147201538086,99.34007263183594,53.2962646484375,19.046775817871094,54.74809646606445,0,23433.940185546875,12757.153015136719,42.7919921875,16833806336,10737418240,8472985600,0
200,1740515238393,2300,1506,1506,2300,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,2300,1506,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,23433.981872558594,12757.182250976563,42.7919921875,16833806336,10737418240,8472154112,0
200,1740515238593,2300,1506,1506,2300,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,2300,1506,4.8510284423828125,0.39923095703125,5.992561340332031,0.39794921875,0.410003662109375,0.406097412109375,0.4056549072265625,0.40343475341796875,0.44547271728515625,0.39987945556640625,0.37888336181640625,33.50226593017578,47.37372970581055,39.245628356933594,0.39014434814453125,7.149650573730469,0,23435.70233154297,12758.36669921875,42.79901123046875,16833806336,10737418240,8472285184,0
200,1740515238794,2300,1506,1506,2300,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,2300,1506,0.7432403564453125,0.7424468994140625,1.2903289794921875,0.7340545654296875,0.7493057250976563,0.7536773681640625,0.745330810546875,0.7411575317382813,0.7458267211914063,0.744781494140625,0.699432373046875,66.10267639160156,66.03457641601563,0.6964035034179688,0.7102127075195313,7.418525695800781,0,23437.2626953125,12759.416442871094,42.8004150390625,16833806336,10737418240,8472121344,0
200,1740515238994,2300,1506,1506,2300,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,2300,1506,0,0,0.00688934326171875,0,0,0,0,0,0,0,0,54.555545806884766,71.35191345214844,0,0,10.746192932128906,0,23438.913513183594,12760.522827148438,42.80206298828125,16833806336,10737418240,8470638592,0
200,1740515239195,2300,1506,1506,2300,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,2300,1506,5.2198028564453125,1.4069747924804688,21.04766845703125,1.472869873046875,1.4819564819335938,2.04876708984375,1.6619491577148438,1.660675048828125,6.5245208740234375,1.4079055786132813,1.384368896484375,69.98515319824219,81.20404052734375,1.9084320068359375,1.45660400390625,28.709983825683594,0,23441.12744140625,12762.096313476563,42.836669921875,16833806336,10737418240,8472588288,0
203,1740515239395,2300,1506,1506,2300,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,2300,1506,0,0,0,0,0,0,0,0,0,0,0,42.63869094848633,66.1893310546875,0,0,4.4086456298828125,0,23442.636108398438,12763.130981445313,42.83721923828125,16833806336,10737418240,8472604672,0
200,1740515239599,2300,1506,1506,2300,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,2300,1506,0.38150787353515625,0.3808746337890625,0.3834228515625,0.38336944580078125,0.3860626220703125,0.386749267578125,0.38787841796875,0.404327392578125,0.38166046142578125,0.38097381591796875,0.3603057861328125,24.231163024902344,92.01178741455078,0.36236572265625,0.37186431884765625,0.4933013916015625,0,23444.32891845703,12764.388488769531,42.83740234375,16833806336,10737418240,8472801280,0
200,1740515239799,2300,1506,1506,2300,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,2300,1506,0,0,0.14638519287109375,0,0,0,0,0,0,0,0,5.819976806640625,99.99220275878906,0,0,1.40313720703125,0,23445.936096191406,12765.567810058594,42.83740234375,16833806336,10737418240,8473006080,0
200,1740515240000,2300,1506,1506,2300,1500,1500,1500,1500,1506,2300,2300,2300,2300,2300,2300,1506,0,0,0,0,0,0,0,0,0,0,0,17.2586669921875,89.33417510986328,0,0,0.073333740234375,0,23447.55682373047,12766.741760253906,42.83740234375,16833806336,10737418240,8473141248,0
